COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000217344;Elvis Eduardo Gaona Garcia;Primer Congreso Internacional de Ciencia y Tecnología Aeroespacial CICTA 2007;2007;BOGOTÁ, DC;Diseño de Estación Terrena para CubesatUD;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;I CONVENCIN INTERAMERICANA DE INGENIERIA ELCTRICA Y ELECTRNICA;2007;MÉRIDA;Direccionamiento Multicast para Tráfico Multimedial;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;Segundo Congreso Internacional en Ciencia y Tecnología Aeroespacial CICTA 2008;2008;CALI;Antenas del Módulo de Estación Terrena del Picosatélite Colombia 1;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;V Simposio Internacional de Sistemas de Información e Ingeniería de Software en la Sociedad del Conocimiento SISOFT;2010;BOGOTÁ, DC;Descripción del Software para la configuración de un Transceiver;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;Tercer Congreso Internacional en Ciencia y Tecnología Aeroespacial CICTA 2010;2010;BOGOTÁ, DC;Algoritmo para el manejo de datos en la estación terrena del picosatélite Colombia 1;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;V Congreso de Electrónica, Control y Telecomunicaciones;2009;BOGOTÁ, DC;Pruebas de Protocolos de Enrutamiento Multicast sobre tráfico Multimedial;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;Ninth LACCEI Latin American and Caribbean Conference LACCEI 2011;2011;MEDELLÍN;Sistema de telemetría del picosatélite Colombia1;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;The Seventh International Conference on Networking and Services ICNS 2011;2011;Venecia;Comparative Analysis and Tests of Intelligent Streaming Video on Demand for Next Generation Networks Two Colombian Study Cases;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;8th LACCEI Conference Latin American and Caribbean Conference for Engineering and Technology;2010;Arequipa;Modelo Informático para Autenticidad de Contenidos Mediante el Concepto de Web of Trust Sobre Plataformas Virtuales LCMS;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;Cuarto Congreso Internacional en Ciencia y Tecnología Aeroespacial CICTA 2012;2012;BOGOTÁ, DC;Subsistema de sensores en una radiosonda recuperable y reutilizable para la adquisición de variables atmosféricas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;Workshop on Engineering Applications WEA 2019;2019;SANTA MARTA;Development and testing of a RealTime LoRaWAN sniffer based on GNURadio;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;Workshop on Engineering Applications WEACITINF 2020;2020;BOGOTÁ, DC;MACSANN Crossover and memeticbased algorithm for neural architecture search;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;8th AsiaPacific Conference on Antennas and Propagation APCAP 2019;2019;Incheon;MEF simulation study to evaluate the incidence of the UAV body in the radiation pattern of the HyperLOG 4025 antenna for DVBT2 signal measurement;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;IGARSS 2019 IEEE International Geoscience and Remote Sensing;2019;Yokohama;ESTIMATION OF INDIVIDUAL POTATO PLANTS AREA AND VOLUME FROM UAVBASED MULTISPECTRAL IMAGES;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;IGARSS 2020 IEEE International Geoscience and Remote Sensing;2020;Hawai;A SUPERVOXELBASED APPROACH FOR LEAVES SEGMENTATION OF POTATO PLANTS FROM POINT CLOUDS;Producción técnica  Presentación de trabajo  Ponencia;
